id,label,hemisphere,structure
1,lateralorbitofrontal_rh,R,cortex
2,parsorbitalis_rh,R,cortex
3,frontalpole_rh,R,cortex
4,medialorbitofrontal_rh,R,cortex
5,parstriangularis_rh,R,cortex
6,parsopercularis_rh,R,cortex
7,rostralmiddlefrontal_rh,R,cortex
8,superiorfrontal_rh,R,cortex
9,caudalmiddlefrontal_rh,R,cortex
10,precentral_rh,R,cortex
11,paracentral_rh,R,cortex
12,rostralanteriorcingulate_rh,R,cortex
13,caudalanteriorcingulate_rh,R,cortex
14,posteriorcingulate_rh,R,cortex
15,isthmuscingulate_rh,R,cortex
16,postcentral_rh,R,cortex
17,supramarginal_rh,R,cortex
18,superiorparietal_rh,R,cortex
19,inferiorparietal_rh,R,cortex
20,precuneus_rh,R,cortex
21,cuneus_rh,R,cortex
22,pericalcarine_rh,R,cortex
23,lateraloccipital_rh,R,cortex
24,lingual_rh,R,cortex
25,fusiform_rh,R,cortex
26,parahippocampal_rh,R,cortex
27,entorhinal_rh,R,cortex
28,temporalpole_rh,R,cortex
29,inferiortemporal_rh,R,cortex
30,middletemporal_rh,R,cortex
31,bankssts_rh,R,cortex
32,superiortemporal_rh,R,cortex
33,transversetemporal_rh,R,cortex
34,insula_rh,R,cortex
35,thalamusproper_rh,R,subcortex/brainstem
36,caudate_rh,R,subcortex/brainstem
37,putamen_rh,R,subcortex/brainstem
38,pallidum_rh,R,subcortex/brainstem
39,accumbensarea_rh,R,subcortex/brainstem
40,hippocampus_rh,R,subcortex/brainstem
41,amygdala_rh,R,subcortex/brainstem
42,lateralorbitofrontal_lh,L,cortex
43,parsorbitalis_lh,L,cortex
44,frontalpole_lh,L,cortex
45,medialorbitofrontal_lh,L,cortex
46,parstriangularis_lh,L,cortex
47,parsopercularis_lh,L,cortex
48,rostralmiddlefrontal_lh,L,cortex
49,superiorfrontal_lh,L,cortex
50,caudalmiddlefrontal_lh,L,cortex
51,precentral_lh,L,cortex
52,paracentral_lh,L,cortex
53,rostralanteriorcingulate_lh,L,cortex
54,caudalanteriorcingulate_lh,L,cortex
55,posteriorcingulate_lh,L,cortex
56,isthmuscingulate_lh,L,cortex
57,postcentral_lh,L,cortex
58,supramarginal_lh,L,cortex
59,superiorparietal_lh,L,cortex
60,inferiorparietal_lh,L,cortex
61,precuneus_lh,L,cortex
62,cuneus_lh,L,cortex
63,pericalcarine_lh,L,cortex
64,lateraloccipital_lh,L,cortex
65,lingual_lh,L,cortex
66,fusiform_lh,L,cortex
67,parahippocampal_lh,L,cortex
68,entorhinal_lh,L,cortex
69,temporalpole_lh,L,cortex
70,inferiortemporal_lh,L,cortex
71,middletemporal_lh,L,cortex
72,bankssts_lh,L,cortex
73,superiortemporal_lh,L,cortex
74,transversetemporal_lh,L,cortex
75,insula_lh,L,cortex
76,thalamusproper_lh,L,subcortex/brainstem
77,caudate_lh,L,subcortex/brainstem
78,putamen_lh,L,subcortex/brainstem
79,pallidum_lh,L,subcortex/brainstem
80,accumbensarea_lh,L,subcortex/brainstem
81,hippocampus_lh,L,subcortex/brainstem
82,amygdala_lh,L,subcortex/brainstem
83,brainstem_lh,L,subcortex/brainstem
