acronym,group
A2ML1,brain
AAK1,brain
AATK,brain
ABAT,brain
ABCA2,brain
ABCA3,brain
ABCC12,brain
ABCC8,brain
ABCD2,brain
ABCG4,brain
ABCG8,brain
ABHD12B,brain
ABI2,brain
ABLIM2,brain
ACBD7,brain
ACOT12,brain
ACOT6,brain
ACOT7,brain
ACPT,brain
ACRV1,brain
ACSBG1,brain
ACSL6,brain
ACTL6B,brain
ACTL7A,brain
ACTL8,brain
ACTN2,brain
ACTR3B,brain
ACVR1C,brain
ADAD2,brain
ADAM11,brain
ADAM22,brain
ADAM23,brain
ADAM29,brain
ADAMTS16,brain
ADAMTS18,brain
ADAMTS20,brain
ADAMTS8,brain
ADAP1,brain
ADARB2,brain
ADCY1,brain
ADCY2,brain
ADCY8,brain
ADCYAP1,brain
ADCYAP1R1,brain
ADD2,brain
ADIG,brain
ADORA1,brain
ADRA1B,brain
ADRA1D,brain
ADRB1,brain
AFF2,brain
AGAP2,brain
AGAP3,brain
AGBL1,brain
AGBL4,brain
AGPAT4,brain
AGT,brain
AGXT2,brain
AHSG,brain
AIF1L,brain
AIFM3,brain
AIPL1,brain
AIRE,brain
AJAP1,brain
AK5,brain
AKAP14,brain
AKAP5,brain
AKAP6,brain
ALDOC,brain
ALK,brain
ALOX12B,brain
ALOXE3,brain
ALPI,brain
ALPP,brain
ALX3,brain
ALX4,brain
AMBN,brain
AMH,brain
AMPH,brain
AMTN,brain
AMZ1,brain
ANK2,brain
ANKFN1,brain
ANKRD13B,brain
ANKRD18B,brain
ANKRD2,brain
ANKRD24,brain
ANKRD33B,brain
ANKRD34B,brain
ANKRD34C,brain
ANKRD45,brain
ANKRD62,brain
ANKS1B,brain
ANLN,brain
ANO3,brain
ANO4,brain
ANP32D,brain
AP3B2,brain
APBA1,brain
APBA2,brain
APBB1,brain
APC,brain
APC2,brain
APLN,brain
APLNR,brain
APLP1,brain
APOD,brain
APOE,brain
AQP12A,brain
AQP4,brain
AQP6,brain
ARC,brain
ARHGDIG,brain
ARHGEF4,brain
ARHGEF9,brain
ARID3C,brain
ARL5C,brain
ARMC3,brain
ARNT2,brain
ARPP19,brain
ARR3,brain
ARSF,brain
ART1,brain
ART3,brain
ARX,brain
ASB10,brain
ASB18,brain
ASCL1,brain
ASPDH,brain
ASPHD1,brain
ASPHD2,brain
ASRGL1,brain
ASTN1,brain
ASTN2,brain
ASXL3,brain
ATCAY,brain
ATL1,brain
ATOH1,brain
ATOH7,brain
ATP10B,brain
ATP13A4,brain
ATP13A5,brain
ATP1A2,brain
ATP1A3,brain
ATP1B2,brain
ATP1B4,brain
ATP2B2,brain
ATP2B3,brain
ATP4B,brain
ATP6V0A1,brain
ATP6V0E2,brain
ATP6V1G2,brain
ATP8A1,brain
ATP8A2,brain
ATP9A,brain
ATRNL1,brain
AVPR1B,brain
B3GALT1,brain
B3GALT2,brain
B3GAT1,brain
B3GAT2,brain
B3GNT4,brain
B4GALNT1,brain
B4GALNT4,brain
B4GALT6,brain
BAALC,brain
BAAT,brain
BASP1,brain
BBOX1,brain
BCAN,brain
BCAS1,brain
BCHE,brain
BDNF,brain
BEGAIN,brain
BEND4,brain
BEND6,brain
BEST1,brain
BEST2,brain
BEST3,brain
BEX1,brain
BEX2,brain
BEX5,brain
BHLHB9,brain
BHLHE22,brain
BHMT,brain
BLID,brain
BMP15,brain
BMP7,brain
BMPER,brain
BMPR1B,brain
BRS3,brain
BRSK1,brain
BRSK2,brain
BSCL2,brain
BSN,brain
BSND,brain
BTBD16,brain
BTBD17,brain
BTG4,brain
C10orf105,brain
C10orf120,brain
C10orf126,brain
C10orf35,brain
C10orf53,brain
C10orf62,brain
C10orf90,brain
C11orf87,brain
C12orf40,brain
C12orf50,brain
C12orf76,brain
C14orf132,brain
C14orf178,brain
C14orf37,brain
C15orf59,brain
C16orf45,brain
C16orf92,brain
C17orf105,brain
C17orf51,brain
C17orf74,brain
C17orf77,brain
C1QL1,brain
C1QL2,brain
C1QL4,brain
C1QTNF4,brain
C1orf141,brain
C1orf158,brain
C1orf185,brain
C1orf194,brain
C1orf216,brain
C1orf61,brain
C1orf64,brain
C1orf87,brain
C1orf94,brain
C20orf144,brain
C21orf62,brain
C22orf24,brain
C22orf42,brain
C2orf27A,brain
C2orf27B,brain
C2orf50,brain
C2orf72,brain
C2orf73,brain
C2orf80,brain
C2orf82,brain
C2orf83,brain
C3orf14,brain
C3orf22,brain
C3orf49,brain
C3orf70,brain
C4orf22,brain
C4orf48,brain
C4orf50,brain
C5orf47,brain
C5orf49,brain
C6orf118,brain
C7orf34,brain
C7orf61,brain
C7orf65,brain
C8orf34,brain
C8orf46,brain
C8orf86,brain
C9orf129,brain
C9orf131,brain
C9orf135,brain
C9orf24,brain
C9orf50,brain
CA10,brain
CA11,brain
CA14,brain
CA5A,brain
CA7,brain
CABP1,brain
CABP5,brain
CABP7,brain
CABYR,brain
CACNA1A,brain
CACNA1B,brain
CACNA1E,brain
CACNA1G,brain
CACNA1I,brain
CACNA1S,brain
CACNA2D1,brain
CACNA2D3,brain
CACNB1,brain
CACNB2,brain
CACNB4,brain
CACNG1,brain
CACNG2,brain
CACNG3,brain
CACNG4,brain
CACNG5,brain
CACNG6,brain
CACNG7,brain
CACNG8,brain
CADM2,brain
CADM3,brain
CADM4,brain
CADPS,brain
CALB1,brain
CALB2,brain
CALHM1,brain
CALM3,brain
CALN1,brain
CALY,brain
CAMK1D,brain
CAMK1G,brain
CAMK2A,brain
CAMK2B,brain
CAMK2N1,brain
CAMK2N2,brain
CAMK4,brain
CAMKK1,brain
CAMKV,brain
CAP2,brain
CAPN3,brain
CAPSL,brain
CARTPT,brain
CASKIN1,brain
CASQ1,brain
CATSPER4,brain
CBLN1,brain
CBLN2,brain
CBLN4,brain
CBS,brain
CCDC105,brain
CCDC136,brain
CCDC151,brain
CCDC27,brain
CCDC33,brain
CCDC74B,brain
CCDC85A,brain
CCDC85B,brain
CCDC88A,brain
CCK,brain
CCKAR,brain
CCKBR,brain
CCL1,brain
CCNA1,brain
CD200,brain
CD200R1L,brain
CD38,brain
CD99L2,brain
CDCP2,brain
CDH10,brain
CDH12,brain
CDH13,brain
CDH18,brain
